price,brand,model,year_model,mileage,gear,fuel,bodywork,city,state,age_years,price_deviation,brand_avg_price,state_avg_price,city_avg_price,is_luxury_brand
19989900.0,AUDI,Q5,2019,59000.0,AUTOMATICO,GASOLINA,SUV,SAO JOSE,SC,6,0.0,24709242.10526316,13869422.58064516,16387754.545454545,0
17409000.0,VOLKSWAGEN,TAOS,2023,16200.0,AUTOMATICO,FLEX,SUV,SAO PAULO,SP,2,198250.0,10100532.564450474,9799506.052422557,9694394.39163498,0
5266000.0,FIAT,MOBI,2023,55804.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,2,-364904.7619047621,8808720.06633499,9799506.052422557,9694394.39163498,0
5249000.0,FIAT,MOBI,2022,39717.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,3,-128666.66666666698,8808720.06633499,9799506.052422557,9694394.39163498,0
5219000.0,FIAT,MOBI,2022,57001.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,3,-158666.66666666698,8808720.06633499,9799506.052422557,9694394.39163498,0
5212000.0,FIAT,MOBI,2021,42644.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,4,74000.0,8808720.06633499,9799506.052422557,9694394.39163498,0
5212000.0,FIAT,MOBI,2021,42644.0,MANUAL,FLEX,HATCH,OSASCO,SP,4,74000.0,8808720.06633499,9799506.052422557,7266583.333333333,0
5199000.0,FIAT,MOBI,2023,47725.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,2,-431904.7619047621,8808720.06633499,9799506.052422557,9694394.39163498,0
5190000.0,FIAT,MOBI,2022,46701.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,3,-187666.66666666698,8808720.06633499,9799506.052422557,9694394.39163498,0
5161000.0,RENAULT,KWID,2022,42689.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,3,-434111.111111111,8993171.56626506,9799506.052422557,9694394.39163498,0
5153000.0,RENAULT,KWID,2022,58593.0,MANUAL,FLEX,HATCH,SAO BERNARDO DO CAMPO,SP,3,-442111.111111111,8993171.56626506,9799506.052422557,8960526.315789474,0
4990000.0,VOLKSWAGEN,SAVEIRO,2015,98684.0,MANUAL,FLEX,PICAPE,SAO PAULO,SP,10,45500.0,10100532.564450474,9799506.052422557,9694394.39163498,0
4899000.0,VOLKSWAGEN,SAVEIRO,2015,0.0,MANUAL,FLEX,PICAPE,MACEIO,AL,10,-45500.0,10100532.564450474,7725018.518518519,7725018.518518519,0
4890000.0,PEUGEOT,2008,2015,120497.0,AUTOMATICO,FLEX,SUV,CURITIBA,PR,10,0.0,10124348.75,14368076.923076924,8430608.695652174,0
4790000.0,HYUNDAI,I30,2009,94277.0,AUTOMATICO,GASOLINA,HATCH,CAXIAS DO SUL,RS,16,0.0,8349066.613162119,10419350.649350649,10213111.111111112,0
4790000.0,FIAT,UNO,2021,68000.0,MANUAL,FLEX,HATCH,BELO HORIZONTE,MG,4,-544666.666666667,8808720.06633499,10169664.930924548,9939429.85553772,0
4790000.0,HYUNDAI,I30,2009,88765.0,AUTOMATICO,GASOLINA,HATCH,SAO PAULO,SP,16,0.0,8349066.613162119,9799506.052422557,9694394.39163498,0
4690000.0,CITROEN,C3,2015,112799.0,AUTOMATICO,FLEX,HATCH,CURITIBA,PR,10,-550000.0,7403913.043478261,14368076.923076924,8430608.695652174,0
4690000.0,RENAULT,FLUENCE,2011,140333.0,AUTOMATICO,FLEX,SEDAN,SANTO ANDRE,SP,14,0.0,8993171.56626506,9799506.052422557,10063042.537313433,0
4690000.0,HONDA,FIT,2012,120000.0,MANUAL,FLEX,HATCH,BELO HORIZONTE,MG,13,0.0,11329637.5,10169664.930924548,9939429.85553772,0
4590000.0,FORD,KA,2015,104446.0,MANUAL,FLEX,HATCH,SAO PAULO,SP,10,445500.0,11046331.914893618,9799506.052422557,9694394.39163498,0
4490000.0,MITSUBISHI,OUTLANDER,2008,203229.0,AUTOMATICO,GASOLINA,SUV,CURITIBA,PR,17,0.0,12156232.558139535,14368076.923076924,8430608.695652174,0
23779000.0,MERCEDES-BENZ,GLC 250,2018,47954.0,AUTOMATICO,GASOLINA,SUV,SANTOS,SP,7,0.0,18842433.333333332,9799506.052422557,13225034.48275862,1
